;PC Software:StarLab Version 3.60 Build 9
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:27/05/2021 at 13:18:42
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Pulsar Sensor 1 Pyroelectric PE25-C (s/n:963165)  FU1.30 (s/n:957840)

;Channel A:Details
;Name:PE25-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1053
;Settings:Range:20.0mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:10uS
;Settings:Threshold:N/A
;Settings:External Trigger:Off
;Missing Pulses Detect:Off 

;Channel A:Statistics
;Min:7.910mJ             
;Max:9.290mJ             
;Average:8.763mJ             
;Std.Dev.:166.2uJ             
;Overrange:0                   
;Total Pulses:75387               
;--------------------


;First Pulse Arrived : 27/05/2021 at 13:18:53
    Timestamp    	  Channel A  	
        63.581810	  8.626e-03 	
        63.781752	  9.010e-03 	
        63.981696	  8.696e-03 	
        64.181638	  8.504e-03 	
        64.381580	  8.783e-03 	
        64.581524	  9.010e-03 	
        64.781466	  8.504e-03 	
        64.981410	  8.853e-03 	
        65.181352	  8.801e-03 	
        65.381294	  8.836e-03 	
        65.581238	  8.888e-03 	
        65.781180	  8.766e-03 	
        65.981124	  8.731e-03 	
        66.181066	  8.766e-03 	
        66.381009	  8.783e-03 	
        66.580952	  8.731e-03 	
        66.780894	  8.818e-03 	
        66.980837	  8.818e-03 	
        67.180779	  9.045e-03 	
        67.380723	  8.993e-03 	
        67.580665	  8.731e-03 	
        67.780609	  8.679e-03 	
        67.980551	  8.679e-03 	
        68.180493	  8.504e-03 	
        68.380437	  8.801e-03 	
        68.580379	  8.958e-03 	
        68.780323	  8.661e-03 	
        68.980265	  9.028e-03 	
        69.180208	  9.045e-03 	
        69.380150	  8.801e-03 	
        69.580094	  8.993e-03 	
        69.780036	  9.045e-03 	
        69.979978	  8.993e-03 	
        70.179922	  8.766e-03 	
        70.379864	  8.783e-03 	
        70.579808	  8.993e-03 	
        70.779750	  8.731e-03 	
        70.979692	  8.801e-03 	
        71.179635	  8.521e-03 	
        71.379578	  8.644e-03 	
        71.579521	  8.626e-03 	
        71.779463	  8.853e-03 	
        71.979407	  8.591e-03 	
        72.179349	  8.626e-03 	
        72.379291	  8.451e-03 	
        72.579235	  8.574e-03 	
        72.779177	  8.504e-03 	
        72.979121	  8.451e-03 	
        73.179063	  8.853e-03 	
        73.379006	  8.609e-03 	
        73.578948	  8.993e-03 	
        73.778890	  8.958e-03 	
        73.978834	  8.521e-03 	
        74.178776	  8.504e-03 	
        74.378720	  8.923e-03 	
        74.578662	  8.416e-03 	
        74.778606	  8.644e-03 	
        74.978548	  8.399e-03 	
        75.178490	  8.347e-03 	
        75.378433	  8.574e-03 	
        75.578375	  8.644e-03 	
        75.778319	  8.696e-03 	
        75.978261	  8.696e-03 	
        76.178203	  8.609e-03 	
        76.378147	  8.347e-03 	
        76.578089	  8.294e-03 	
        76.778033	  8.539e-03 	
        76.977975	  8.644e-03 	
        77.177917	  8.713e-03 	
        77.377861	  8.381e-03 	
        77.577803	  8.609e-03 	
        77.777747	  8.679e-03 	
        77.977689	  8.609e-03 	
        78.177633	  8.748e-03 	
        78.377575	  8.644e-03 	
        78.577517	  8.574e-03 	
        78.777460	  8.713e-03 	
        78.977402	  8.871e-03 	
        79.177346	  8.591e-03 	
        79.377288	  8.713e-03 	
        79.577230	  8.591e-03 	
        79.777174	  8.906e-03 	
        79.977116	  8.696e-03 	
        80.177060	  8.696e-03 	
        80.377002	  8.731e-03 	
        80.576944	  8.713e-03 	
        80.776888	  8.679e-03 	
        80.976830	  8.609e-03 	
        81.176774	  8.521e-03 	
